0	-0.602886	0.122914	0.0591621	0.747444	0	0	0.25271	-0.0193256	0.0582549	1.36924	0	0	-0.355389	-0.103588	0.0383238	-2.11669	0	0
0.01	-0.600785	0.296857	0.0665377	0.724608	0	0	0.252314	-0.0598496	0.0719402	1.36756	0	0	-0.357094	-0.237008	0.0172629	-2.09217	0	0
0.02	-0.596962	0.466784	0.073594	0.683714	0	0	0.251514	-0.0999345	0.0856009	1.36433	0	0	-0.360117	-0.366849	-0.00345419	-2.04804	0	0
0.03	-0.59147	0.630549	0.0801544	0.625591	0	0	0.250317	-0.139369	0.0992221	1.35968	0	0	-0.364413	-0.49118	-0.0236358	-1.98527	0	0
0.04	-0.584378	0.786232	0.0860521	0.551362	0	0	0.24873	-0.178006	0.11279	1.35378	0	0	-0.369917	-0.608226	-0.0431017	-1.90514	0	0
0.05	-0.575777	0.932179	0.0911324	0.46236	0	0	0.24676	-0.215775	0.126294	1.34681	0	0	-0.376548	-0.716404	-0.0616857	-1.80917	0	0
0.06	-0.565772	1.067	0.0952549	0.360057	0	0	0.244417	-0.252673	0.139724	1.33895	0	0	-0.38421	-0.81433	-0.0792377	-1.699	0	0
0.07	-0.554478	1.18957	0.0982943	0.245999	0	0	0.241709	-0.288758	0.153071	1.33034	0	0	-0.392796	-0.900816	-0.0956241	-1.57634	0	0
0.08	-0.542024	1.29898	0.100141	0.121762	0	0	0.238644	-0.324134	0.166328	1.32111	0	0	-0.402185	-0.974843	-0.110729	-1.44287	0	0
0.09	-0.528545	1.39447	0.100701	-0.0110755	0	0	0.235228	-0.358936	0.179491	1.31133	0	0	-0.412248	-1.03554	-0.124451	-1.30025	0	0
0.1	-0.514183	1.47546	0.099896	-0.150938	0	0	0.231467	-0.393319	0.192553	1.30102	0	0	-0.422849	-1.08215	-0.136708	-1.15008	0	0
0.11	-0.499086	1.54145	0.0976639	-0.296244	0	0	0.227363	-0.427441	0.20551	1.29019	0	0	-0.433842	-1.114	-0.147433	-0.993948	0	0
0.12	-0.483406	1.59199	0.0939583	-0.445389	0	0	0.222918	-0.461455	0.218355	1.27879	0	0	-0.445078	-1.13053	-0.156573	-0.833401	0	0
0.13	-0.467299	1.62671	0.0887489	-0.596713	0	0	0.218134	-0.495498	0.231083	1.26673	0	0	-0.4564	-1.13121	-0.164091	-0.67002	0	0
0.14	-0.450925	1.64529	0.0820225	-0.748477	0	0	0.213008	-0.529679	0.243687	1.25391	0	0	-0.467648	-1.11561	-0.169969	-0.505431	0	0
0.15	-0.434448	1.64749	0.073784	-0.89884	0	0	0.207539	-0.564071	0.256158	1.24018	0	0	-0.478657	-1.08342	-0.174202	-0.341337	0	0
0.16	-0.418031	1.63313	0.0640569	-1.04585	0	0	0.201726	-0.598697	0.268487	1.22539	0	0	-0.48926	-1.03444	-0.176803	-0.179542	0	0
0.17	-0.40184	1.6022	0.0528851	-1.18743	0	0	0.195565	-0.633525	0.280662	1.20938	0	0	-0.49929	-0.968675	-0.177806	-0.02195	0	0
0.18	-0.386042	1.55484	0.0403334	-1.32146	0	0	0.189055	-0.66846	0.29267	1.19202	0	0	-0.508578	-0.886382	-0.177263	0.129444	0	0
