0	-10	0	37
0.002	-9.29421	0.871199	36.7706
0.004	-8.57785	1.72405	36.5278
0.006	-7.85293	2.55712	36.2745
0.008	-7.12141	3.3692	36.0136
0.01	-6.38519	4.15925	35.7477
0.012	-5.64609	4.92644	35.4797
0.014	-4.9059	5.67007	35.212
0.016	-4.16629	6.38958	34.9471
0.018	-3.42887	7.08455	34.6873
0.02	-2.69516	7.75465	34.4347
0.022	-1.9666	8.39965	34.1914
0.024	-1.24455	9.01935	33.9592
0.026	-0.530279	9.61365	33.7398
0.028	0.175015	10.1824	33.5347
0.03	0.870212	10.7257	33.3451
0.032	1.55426	11.2432	33.1724
0.034	2.22619	11.7351	33.0174
0.036	2.88506	12.2012	32.8811
0.038	3.53001	12.6413	32.764
0.04	4.16024	13.0554	32.6666
0.042	4.77496	13.4433	32.5893
0.044	5.37345	13.8048	32.5324
0.046	5.95501	14.1396	32.4957
0.048	6.51897	14.4475	32.4791
0.05	7.06468	14.7281	32.4825
0.052	7.59154	14.9811	32.5053
0.054	8.09893	15.2062	32.547
0.056	8.58626	15.4029	32.607
0.058	9.05296	15.5708	32.6843
0.06	9.49847	15.7095	32.7781
0.062	9.92223	15.8187	32.8873
0.064	10.3237	15.898	33.0107
0.066	10.7024	15.9469	33.147
0.068	11.0577	15.9652	33.2949
0.07	11.3892	15.9526	33.4529
0.072	11.6963	15.9089	33.6194
0.074	11.9787	15.8339	33.7929
0.076	12.2358	15.7276	33.9717
0.078	12.4673	15.5901	34.1542
0.08	12.6728	15.4215	34.3385
0.082	12.852	15.222	34.523
0.084	13.0045	14.9919	34.7059
0.086	13.1301	14.7319	34.8855
0.088	13.2286	14.4424	35.0601
0.09	13.2999	14.1242	35.2282
0.092	13.344	13.7782	35.388
0.094	13.3607	13.4053	35.5382
0.096	13.3503	13.0068	35.6773
0.098	13.3127	12.5837	35.804
0.1	13.2483	12.1375	35.9172
0.102	13.1573	11.6695	36.0157
0.104	13.0402	11.1813	36.0987
0.106	12.8973	10.6746	36.1654
0.108	12.7293	10.1509	36.2151
0.11	12.5367	9.61193	36.2474
0.112	12.3202	9.05955	36.262
0.114	12.0806	8.4955	36.2587
0.116	11.8187	7.92157	36.2374
0.118	11.5354	7.33956	36.1984
0.12	11.2317	6.75123	36.1419
0.122	10.9086	6.15832	36.0682
0.124	10.5672	5.56253	35.9781
0.126	10.2085	4.9655	35.872
0.128	9.83376	4.3688	35.7508
0.13	9.44403	3.77393	35.6153
0.132	9.04053	3.18233	35.4664
0.134	8.62447	2.59533	35.3053
0.136	8.19705	2.01417	35.1328
0.138	7.75947	1.44002	34.9503
0.14	7.31292	0.87392	34.7587
0.142	6.85859	0.316849	34.5593
0.144	6.39765	-0.230327	34.3533
0.146	5.93124	-0.766828	34.1418
0.148	5.46047	-1.29197	33.9259
0.15	4.98643	-1.80514	33.707
0.152	4.51017	-2.30582	33.486
0.154	4.03269	-2.79357	33.2641
0.156	3.55497	-3.26802	33.0423
0.158	3.07793	-3.72884	32.8216
0.16	2.60246	-4.1758	32.603
0.162	2.12939	-4.6087	32.3873
0.164	1.65951	-5.02739	32.1755
0.166	1.19359	-5.43177	31.9682
0.168	0.732309	-5.82176	31.7663
0.17	0.27634	-6.19734	31.5703
0.172	-0.173704	-6.55849	31.3809
0.174	-0.617249	-6.90523	31.1985
0.176	-1.05376	-7.23758	31.0238
0.178	-1.48274	-7.55558	30.857
0.18	-1.90373	-7.8593	30.6985
0.182	-2.31631	-8.14878	30.5485
0.184	-2.72009	-8.42409	30.4075
0.186	-3.1147	-8.6853	30.2754
0.188	-3.49981	-8.93247	30.1524
0.19	-3.87512	-9.16566	30.0386
0.192	-4.24035	-9.38493	29.934
0.194	-4.59524	-9.59034	29.8386
0.196	-4.93955	-9.78194	29.7522
0.198	-5.27307	-9.95978	29.6747
0.2	-5.59559	-10.1239	29.6061
0.202	-5.90694	-10.2743	29.546
0.204	-6.20694	-10.4111	29.4941
0.206	-6.49545	-10.5343	29.4504
0.208	-6.77232	-10.644	29.4143
0.21	-7.03742	-10.74	29.3855
0.212	-7.29063	-10.8226	29.3638
0.214	-7.53184	-10.8917	29.3486
0.216	-7.76096	-10.9474	29.3395
0.218	-7.9779	-10.9897	29.3361
0.22	-8.18258	-11.0188	29.3379
0.222	-8.37493	-11.0345	29.3445
0.224	-8.55489	-11.0371	29.3552
0.226	-8.72242	-11.0267	29.3696
0.228	-8.87747	-11.0032	29.3872
0.23	-9.02001	-10.967	29.4074
0.232	-9.15003	-10.918	29.4297
0.234	-9.26753	-10.8566	29.4536
0.236	-9.3725	-10.7827	29.4785
0.238	-9.46497	-10.6967	29.5038
0.24	-9.54496	-10.5988	29.5291
0.242	-9.61253	-10.4893	29.5539
0.244	-9.66774	-10.3683	29.5776
0.246	-9.71065	-10.2362	29.5997
0.248	-9.74135	-10.0932	29.6197
0.25	-9.75996	-9.93987	29.6373
0.252	-9.7666	-9.77638	29.6519
0.254	-9.7614	-9.60315	29.6632
0.256	-9.74452	-9.42059	29.6707
0.258	-9.71614	-9.22911	29.6742
0.26	-9.67643	-9.02915	29.6732
0.262	-9.62562	-8.82114	29.6674
0.264	-9.56392	-8.60556	29.6567
0.266	-9.49157	-8.38287	29.6406
0.268	-9.40883	-8.15357	29.6191
0.27	-9.31597	-7.91814	29.592
0.272	-9.21328	-7.67709	29.559
0.274	-9.10105	-7.43091	29.5201
0.276	-8.97962	-7.18012	29.4753
0.278	-8.84929	-6.9252	29.4243
0.28	-8.71041	-6.66667	29.3673
