0	0	0	0	0	0	0	0	-2.75674	5.2	0	0	0	-4.503	-1.38	2.6	-2.39	0	0	4.503	-1.38	2.6	2.39	0	0
0.01	-3.59489e-10	-1.07848e-07	2.03406e-07	4.06815e-05	0	0	-0.0275671	-2.75664	5.19982	-0.0369863	0	0	-4.51664	-1.34789	2.57601	-2.40839	0	0	4.48904	-1.41202	2.62381	2.37144	0	0
0.02	-2.87605e-09	-4.31425e-07	8.13637e-07	8.13653e-05	0	0	-0.0551322	-2.75635	5.19926	-0.0739748	0	0	-4.52996	-1.31567	2.55183	-2.42661	0	0	4.47476	-1.44393	2.64743	2.35271	0	0
0.03	-9.70743e-09	-9.70835e-07	1.83073e-06	0.000122054	0	0	-0.0826934	-2.75586	5.19834	-0.110968	0	0	-4.54295	-1.28336	2.52748	-2.44467	0	0	4.46016	-1.47576	2.67086	2.3338	0	0
0.04	-2.30127e-08	-1.72625e-06	3.25474e-06	0.00016275	0	0	-0.110249	-2.75517	5.19704	-0.147967	0	0	-4.55562	-1.25094	2.50294	-2.46255	0	0	4.44525	-1.50749	2.6941	2.31472	0	0
0.05	-4.49532e-08	-2.6979e-06	5.08575e-06	0.000203455	0	0	-0.137796	-2.75429	5.19538	-0.184975	0	0	-4.56797	-1.21842	2.47823	-2.48027	0	0	4.43001	-1.53913	2.71715	2.29547	0	0
0.06	-7.76926e-08	-3.88611e-06	7.32387e-06	0.000244172	0	0	-0.165334	-2.75321	5.19334	-0.221993	0	0	-4.57999	-1.18578	2.45334	-2.49783	0	0	4.41446	-1.57068	2.74001	2.27604	0	0
0.07	-1.23398e-07	-5.29124e-06	9.96923e-06	0.000284903	0	0	-0.19286	-2.75193	5.19094	-0.259025	0	0	-4.59169	-1.15304	2.42827	-2.51522	0	0	4.3986	-1.60215	2.76268	2.25643	0	0
0.08	-1.84242e-07	-6.91375e-06	1.3022e-05	0.00032565	0	0	-0.220372	-2.75045	5.18816	-0.296071	0	0	-4.60305	-1.12019	2.40303	-2.53244	0	0	4.38242	-1.63353	2.78514	2.23665	0	0
0.09	-2.624e-07	-8.75415e-06	1.64823e-05	0.000366417	0	0	-0.247868	-2.74878	5.18501	-0.333135	0	0	-4.61409	-1.08722	2.37762	-2.5495	0	0	4.36593	-1.66482	2.80741	2.21668	0	0
0.1	-3.60053e-07	-1.0813e-05	2.03504e-05	0.000407205	0	0	-0.275347	-2.74691	5.1815	-0.370218	0	0	-4.6248	-1.05414	2.35204	-2.5664	0	0	4.34912	-1.69603	2.82947	2.19653	0	0
