Microseconds	Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Acceleration X	Acceleration Y	Acceleration Z	G Force	Angular Velocity X	Angular Velocity Y	Angular Velocity Z	Roll	Pitch	Heading	Velocity North	Velocity East	Velocity Down	Latitude	Longitude
701020	0.39751562	-0.5542469	-9.632347	-0.449713201	-0.57764477	-0.467885413	0.07109565	-0.21094218	0.1542772	0.9859307	-0.4543963586	-0.5770281932	-0.466800779	2.7500852072	2.452298977	8.3423839453	11.9012	1.7281269	0.095851764	19.03787564	-98.3158443471
750458	0.29916868	-0.59894896	-9.322987	-0.930467184	0.746148838	-0.478744617	-0.027525274	-0.26207995	0.46396756	0.954373	-0.9351500378	0.7467649966	-0.4776589964	2.7033345355	2.4899589705	8.3210895405	11.910233	1.7194262	0.13471693	19.0378809571	-98.3158435514
801023	0.22342284	-0.36337218	-9.569522	-0.671842906	1.857222085	-0.364256303	-0.114624396	-0.03273826	0.21727131	0.9775983	-0.6765266704	1.8578424178	-0.3631698097	2.6684422865	2.5862684324	8.3090665861	11.913487	1.7386342	0.15471262	19.0378864981	-98.3158425748
850441	0.27784517	-0.3968512	-10.201667	-1.004160296	2.563733058	-0.470497619	-0.079876654	-0.07347176	-0.41542548	1.0423034	-1.0088467165	2.5643520249	-0.4694166656	2.618202147	2.7128585513	8.2907701789	11.901084	1.7225	0.119331785	19.0378917011	-98.3158419326
900434	0.28065038	-0.45116466	-10.364831	-1.039490512	2.202181851	-0.562045794	-0.10121343	-0.14756791	-0.56637836	1.057963	-1.0520651179	2.2026545004	-0.5646421764	2.5642897943	2.823591096	8.2677588163	11.8887005	1.7172014	0.08816824	19.0378970142	-98.3158411561
950441	0.4377876	-0.37595066	-10.66375	0.295896753	1.25436371	-0.370644124	0.044010594	-0.056446485	-0.8855278	1.0905784	0.2723819867	1.274067819	-0.3697392375	2.57713055	2.8880580641	8.2523244101	11.89044	1.7188293	0.056047197	19.0379023925	-98.3158403732
939	0.46874967	-0.296474	-10.33895	0.278822988	0.357224699	-0.500581111	0.0675848	0.016135544	-0.5543259	1.0566868	0.2741286368	0.3578319031	-0.4995189409	2.5895114062	2.9073978206	8.2273162037	11.890053	1.7173489	0.03036076	19.0379078478	-98.3158396271
50409	0.4062593	-0.33760706	-9.848029	0.297069895	-0.423025907	-0.365686165	0.006514732	-0.022292215	-0.06345609	1.0065943	0.2923752026	-0.4224200312	-0.3646243744	2.6028852201	2.8875298628	8.20835742	11.894537	1.7149793	0.019876754	19.0379131365	-98.3158388915
100931	0.41413912	-0.5483173	-9.860644	0.225653039	-1.057173568	-0.392278103	0.019563071	-0.2319459	-0.07588398	1.0091624	0.2209587067	-1.0565584717	-0.3912111893	2.6131286825	2.8360399505	8.1875523602	11.873391	1.71651	0.008557675	19.0379184146	-98.3158379995
150384	0.3514029	-0.27494597	-9.106777	0.117782865	-0.694799931	-0.316947852	-0.035945673	0.045041986	0.67818296	0.9306116	0.1130892066	-0.6941836201	-0.3158749807	2.6178393881	2.8027653938	8.170954697	11.867192	1.7199715	0.045179084	19.0379236135	-98.315837226
200985	0.46283206	-0.43603167	-9.68997	-0.427296141	-0.885051663	-0.408644147	0.082320094	-0.11968511	0.09547713	0.991366	-0.4319887468	-0.8844312539	-0.4075695683	2.594835311	2.7594355844	8.1472068881	11.88412	1.7059093	0.042319387	19.0379291717	-98.3158365188
250415	0.38273528	-0.4258192	-9.61991	-0.139802997	-0.380957596	-0.331537193	0.0076969424	-0.11115145	0.16586356	0.9837486	-0.1444949855	-0.3803377179	-0.3304617414	2.5869362731	2.7415520242	8.1300919519	11.87717	1.6978616	0.0478262	19.0379343653	-98.3158357593
300985	0.29310027	-0.39643037	-9.500936	-0.431031002	-0.407351192	-0.392960439	-0.078380704	-0.08450353	0.28512457	0.97106755	-0.435721521	-0.4067262296	-0.3918824072	2.5640712283	2.7226296682	8.1096335622	11.882862	1.6980761	0.0597043	19.037939909	-98.3158349004
350431	0.5032937	-0.43167126	-9.7120285	-0.976475414	-0.114809826	-0.254916206	0.13318601	-0.12626918	0.07441032	0.9938272	-0.9811657812	-0.1141853855	-0.2538354617	2.5153988449	2.7175877743	8.0973811135	11.889997	1.6966788	0.075151555	19.0379451702	-98.3158340882
400970	0.5268413	-0.52379173	-9.801813	-1.278981912	0.377062035	-0.288929998	0.1548753	-0.22872046	-0.015007225	1.0036775	-1.283671065	0.377684493	-0.2878473753	2.4496406674	2.7374611963	8.0840649767	11.880754	1.6886673	0.06474835	19.0379504953	-98.3158332602
450399	0.1737575	-0.20492801	-9.811501	-0.413194001	0.02904573	-0.136940161	-0.19904138	0.08588879	-0.024568966	1.001404	-0.4178831539	0.0296668863	-0.1358560864	2.4288598928	2.7391924216	8.078115123	11.874772	1.698409	0.054084934	19.0379557861	-98.3158324267
501021	0.48559788	-0.33023748	-10.048487	-0.574748428	0.942358392	-0.335569698	0.107838854	-0.04906947	-0.26139617	1.0273931	-0.5794384152	0.9429811533	-0.3344885932	2.3984303375	2.7884994054	8.0616740987	11.887375	1.683529	0.048168488	19.0379613204	-98.3158317392
550389	0.19037	-0.29547217	-10.053857	0.413511112	1.207278207	-0.452946993	-0.19552092	-0.01348497	-0.26718795	1.0264887	0.408819455	1.2079007409	-0.4518696819	2.4175035649	2.8485574105	8.0424912848	11.864632	1.6849713	0.03454233	19.0379664743	-98.3158309433
