19.0160707254	-98.2285451156
19.0160711901	-98.2285446119
19.0160716687	-98.2285440528
19.0160721341	-98.2285435378
19.0160726143	-98.2285429678
19.0160730806	-98.2285424425
19.0160735658	-98.2285418896
19.0160740266	-98.2285413247
19.0160745121	-98.2285407605
19.0160749738	-98.2285401845
19.0160754599	-98.2285396087
19.016075927	-98.2285390499
19.0160764085	-98.2285384341
19.0160768763	-98.2285378651
19.0160773585	-98.2285372383
19.0160778264	-98.2285366585
19.0160783084	-98.2285360199
19.0160787768	-98.2285354288
19.0160792648	-98.2285348076
19.0160797287	-98.2285341772
19.0160802172	-98.2285335451
19.0160806813	-98.228532904
19.0160811698	-98.2285322611
19.0160816398	-98.2285316377
19.0160821235	-98.2285309556
19.016082594	-98.2285303213
19.0160830779	-98.2285296271
19.0160835483	-98.2285289821
19.0160840329	-98.2285282766
19.0160845042	-98.2285276213
19.0160849954	-98.2285269334
19.0160854618	-98.228526239
19.0160859533	-98.2285255401
19.0160864203	-98.2285248353
19.0160869126	-98.2285241252
19.016087385	-98.2285234378
19.0160878718	-98.2285226879
19.016088345	-98.2285219904
19.0160888328	-98.2285212305
19.0160893067	-98.2285205226
19.0160897947	-98.2285197521
19.0160902688	-98.2285190339
19.0160907627	-98.2285182808
19.016091232	-98.2285175234
19.0160917262	-98.2285167587
19.0160921958	-98.2285159907
19.016092691	-98.2285152157
19.0160931671	-98.2285144667
19.0160936577	-98.2285136532
19.016094134	-98.2285128937
19.0160946243	-98.2285120693
19.0160951009	-98.2285112992
19.0160955918	-98.228510464
19.0160960687	-98.2285096833
19.0160965656	-98.2285088653
19.0160970381	-98.2285080463
19.0160975359	-98.2285072187
19.0160980093	-98.2285063907
19.0160985072	-98.2285055527
19.0160989857	-98.2285047418
19.0160994786	-98.2285038644
19.0160999577	-98.2285030434
19.0161004515	-98.2285021558
19.0161009314	-98.2285013253
19.0161014255	-98.2285004276
19.0161019056	-98.2284995872
19.0161024059	-98.2284987074
19.0161028812	-98.2284978289
